Product Name,Category Name,Variant Name,Price,SKU,Barcode,Department,Stock Name,Stock Variant Name,Starting Quantity,Starting Value,Alert Level
EXITLINE 4075,2 PIECES,GREEN56,200000,,,Main Department,EXITLINE 4075,GREEN56,1,100000,1
EXITLINE 4075,2 PIECES,GREEN54,200000,,,Main Department,EXITLINE 4075,GREEN54,1,100000,1
EXITLINE 4075,2 PIECES,GREEN50,200000,,,Main Department,EXITLINE 4075,GREEN50,1,100000,1
EXITLINE 4075,2 PIECES,GREEN52,200000,,,Main Department,EXITLINE 4075,GREEN52,1,100000,1
EGGE 3740,2 PIECES,GREEN10,175000,,,Main Department,EGGE 3740,GREEN10,1,87500,1
ESLOI 6117,2 PIECES,GREEN1,250000,,,Main Department,ESLOI 6117,GREEN1,1,125000,1
ESLOI 6117,2 PIECES,GREEN2,250000,,,Main Department,ESLOI 6117,GREEN2,1,125000,1
SHEFLY 4023,2 PIECES,NUDE44,195000,,,Main Department,SHEFLY 4023,NUDE44,1,97500,1
SHEFLY 4023,2 PIECES,NUDE40,195000,,,Main Department,SHEFLY 4023,NUDE40,1,97500,1
EXITLINE 4297,2 PIECES,GREEN46,250000,,,Main Department,EXITLINE 4297,GREEN46,1,125000,1
EXITLINE 4297,2 PIECES,GREEN44,250000,,,Main Department,EXITLINE 4297,GREEN44,1,125000,1
HULYAM 6633,2 PIECES,GREEN46,50000,,,Main Department,HULYAM 6633,GREEN46,1,25000,1
HULYAM 6633,2 PIECES,GREEN48,50000,,,Main Department,HULYAM 6633,GREEN48,1,25000,1
DRESS 017,DRESS,PINK3XL,150000,,,Main Department,DRESS 017,PINK3XL,1,75000,1
RAMONNA 1320,DRESS,PINK46,200000,,,Main Department,RAMONNA 1320,PINK46,1,100000,1
CHIFFON 3030,DRESS,PINK42,150000,,,Main Department,CHIFFON 3030,PINK42,1,75000,1
MAXXE 4226,DRESS,PINK5,220000,,,Main Department,MAXXE 4226,PINK5,1,110000,1
MAXXE 4226,DRESS,PINK6,220000,,,Main Department,MAXXE 4226,PINK6,1,110000,1
JALUZZ 1348,DRESS,PINK38,200000,,,Main Department,JALUZZ 1348,PINK38,1,100000,1
JALUZZ 1348,DRESS,PINK40,200000,,,Main Department,JALUZZ 1348,PINK40,1,100000,1
RENGIN 5695,DRESS,PINK40,200000,,,Main Department,RENGIN 5695,PINK40,1,100000,1
RENGIN 5695,DRESS,PINK38,200000,,,Main Department,RENGIN 5695,PINK38,1,100000,1
RENGIN 5695,DRESS,PINK44,200000,,,Main Department,RENGIN 5695,PINK44,1,100000,1
SATEN 4513,DRESS,PINK42,185000,,,Main Department,SATEN 4513,PINK42,1,92500,1
SATEN 4513,DRESS,PINK40,185000,,,Main Department,SATEN 4513,PINK40,1,92500,1
LIWA 0541,DRESS,PINK46,185000,,,Main Department,LIWA 0541,PINK46,1,92500,1
LIWA 0541,DRESS,PINK50,185000,,,Main Department,LIWA 0541,PINK50,1,92500,1
SATEN 1013,DRESS,PINK40,250000,,,Main Department,SATEN 1013,PINK40,1,125000,1
DRESS 2074,DRESS,PINK40,120000,,,Main Department,DRESS 2074,PINK40,1,60000,1
DRESS 2074,DRESS,PINK42,120000,,,Main Department,DRESS 2074,PINK42,1,60000,1
DRESS 2074,DRESS,PINK38,120000,,,Main Department,DRESS 2074,PINK38,1,60000,1
ME LIKE 9129,DRESS,PINK44,180000,,,Main Department,ME LIKE 9129,PINK44,1,90000,1
ORDELA 7413,DRESS,PINK48,150000,,,Main Department,ORDELA 7413,PINK48,1,75000,1
ORDELA 7413,DRESS,PINK46,150000,,,Main Department,ORDELA 7413,PINK46,1,75000,1
AY MENUR,DRESS,PINK44,230000,,,Main Department,AY MENUR,PINK44,1,115000,1
AY MENUR,DRESS,PINK54,230000,,,Main Department,AY MENUR,PINK54,1,115000,1
AY MENUR,DRESS,PINK46,230000,,,Main Department,AY MENUR,PINK46,1,115000,1
AY MENUR,DRESS,PINK62,230000,,,Main Department,AY MENUR,PINK62,1,115000,1
AY MENUR,DRESS,PINK50,230000,,,Main Department,AY MENUR,PINK50,1,115000,1
AY MENUR,DRESS,PINK48,230000,,,Main Department,AY MENUR,PINK48,1,115000,1
LADONAZELLA 8760,DRESS,PINK44,200000,,,Main Department,LADONAZELLA 8760,PINK44,1,100000,1
WOMENTIC 5072,DRESS,PINK56,200000,,,Main Department,WOMENTIC 5072,PINK56,1,100000,1
BODY FLIRT 5551,DRESS,PINK34,50000,,,Main Department,BODY FLIRT 5551,PINK34,1,25000,1
BODY FLIRT 5551,DRESS,PINK38,50000,,,Main Department,BODY FLIRT 5551,PINK38,1,25000,1
BODY FLIRT 5551,DRESS,PINK36,50000,,,Main Department,BODY FLIRT 5551,PINK36,1,25000,1
TRUKUAZ 1122,DRESS,PINK38,185000,,,Main Department,TRUKUAZ 1122,PINK38,1,92500,1
TRUKUAZ 1122,DRESS,PINK44,185000,,,Main Department,TRUKUAZ 1122,PINK44,1,92500,1
TRUKUAZ 1122,DRESS,PINK40,185000,,,Main Department,TRUKUAZ 1122,PINK40,1,92500,1
POLEPOLE PINK10506,2 PIECES,PINK44,195000,,,Main Department,POLEPOLE PINK10506,PINK44,1,97500,1
POLEPOLE PINK10506,2 PIECES,PINK46,195000,,,Main Department,POLEPOLE PINK10506,PINK46,1,97500,1
DRESS 8225,DRESSESS,PINKL,70000,,,Main Department,DRESS 8225,PINKL,1,35000,1
MAC PAC 4174,CAMISOLE,PINK42,45000,,,Main Department,MAC PAC 4174,PINK42,1,22500,1
MAC PAC 4174,CAMISOLE,PINK36,45000,,,Main Department,MAC PAC 4174,PINK36,1,22500,1
MAC PAC 4174,CAMISOLE,PINK40,45000,,,Main Department,MAC PAC 4174,PINK40,1,22500,1
MADAM INSTABUILL 00530,DRESSESS,PINK40,200000,,,Main Department,MADAM INSTABUILL 00530,PINK40,1,100000,1
MADAM INSTABUILL 00530,DRESSESS,PINK42,200000,,,Main Department,MADAM INSTABUILL 00530,PINK42,1,100000,1
MADAM INSTABUILL 00530,DRESSESS,PINK44,200000,,,Main Department,MADAM INSTABUILL 00530,PINK44,1,100000,1
MADAM INSTABUILL 00530,DRESSESS,PINK46,200000,,,Main Department,MADAM INSTABUILL 00530,PINK46,1,100000,1
ALBEA 1820 PI 48,DRESSESS,PINK48,200000,,,Main Department,ALBEA 1820 PI 48,PINK48,1,100000,1
ODRELA 1147,DRESSESS,PINK48,200000,,,Main Department,ODRELA 1147,PINK48,1,100000,1
MODA MANY 7204,DRESSESS,PINK42,70000,,,Main Department,MODA MANY 7204,PINK42,1,35000,1
FIGURE 2022,SHORT DRESS,PINK36,45000,,,Main Department,FIGURE 2022,PINK36,1,22500,1
MAC PAC 4155,CAMISOLE,PINK42,45000,,,Main Department,MAC PAC 4155,PINK42,1,22500,1
MAC PAC 4155,CAMISOLE,PINK44,45000,,,Main Department,MAC PAC 4155,PINK44,1,22500,1
DESIDERARE 6045,CAMISOLE,PINK44,45000,,,Main Department,DESIDERARE 6045,PINK44,1,22500,1
DESIDERARE 6045,CAMISOLE,PINK44,45000,,,Main Department,DESIDERARE 6045,PINK44,1,22500,1
DESIDERARE 6045,CAMISOLE,PINK46,45000,,,Main Department,DESIDERARE 6045,PINK46,1,22500,1
DESIDERARE 6045,CAMISOLE,PINK46,45000,,,Main Department,DESIDERARE 6045,PINK46,1,22500,1
DESIDERARE 6045,CAMISOLE,PINK42,45000,,,Main Department,DESIDERARE 6045,PINK42,1,22500,1
DESIDERARE 6045,CAMISOLE,PINK36,45000,,,Main Department,DESIDERARE 6045,PINK36,1,22500,1
DESIDERARE 6045,CAMISOLE,PINK44,45000,,,Main Department,DESIDERARE 6045,PINK44,1,22500,1
DESIDERARE 6045,CAMISOLE,PINK38,45000,,,Main Department,DESIDERARE 6045,PINK38,1,22500,1
DESIDERARE 6045,CAMISOLE,PINK42,45000,,,Main Department,DESIDERARE 6045,PINK42,1,22500,1
DESIDERARE 6045,CAMISOLE,PINK42,45000,,,Main Department,DESIDERARE 6045,PINK42,1,22500,1
DESIDERARE 6045,CAMISOLE,PINK42,45000,,,Main Department,DESIDERARE 6045,PINK42,1,22500,1
DESIDERARE 6045,CAMISOLE,PINK42,45000,,,Main Department,DESIDERARE 6045,PINK42,1,22500,1
DESIDERARE 6045,CAMISOLE,PINK42,45000,,,Main Department,DESIDERARE 6045,PINK42,1,22500,1
DESIDERARE 6045,CAMISOLE,PINK36,45000,,,Main Department,DESIDERARE 6045,PINK36,1,22500,1
DESIDERARE 6045,CAMISOLE,PINK38,45000,,,Main Department,DESIDERARE 6045,PINK38,1,22500,1
DESIDERARE 6045,CAMISOLE,PINK44,45000,,,Main Department,DESIDERARE 6045,PINK44,1,22500,1
PICK UP  22900,CAMISOLE,BLACK42,45000,,,Main Department,PICK UP  22900,BLACK42,1,22500,1
PICK UP  22900,CAMISOLE,BLACK36,45000,,,Main Department,PICK UP  22900,BLACK36,1,22500,1
CARLINO 14141,DRESSESS,PINK40,65000,,,Main Department,CARLINO 14141,PINK40,1,32500,1
EXTILINE 4293,2 PIECES,PINK42,250000,,,Main Department,EXTILINE 4293,PINK42,1,125000,1
EXTLINE 4293,2 PIECES,PINK44,250000,,,Main Department,EXTLINE 4293,PINK44,1,125000,1
EXTLINE 4293,2 PIECES,PINK48,250000,,,Main Department,EXTLINE 4293,PINK48,1,125000,1
CORSAGE5401,SHORT DRESS,PINK40,200000,,,Main Department,CORSAGE5401,PINK40,1,100000,1
ADM 9432,DRESSESS,PINK48,265000,,,Main Department,ADM 9432,PINK48,1,132500,1
HAVANGA3080,SHORT DRESS,PINK38,185000,,,Main Department,HAVANGA3080,PINK38,1,92500,1
NOVEMBER 70737,SHORT DRESS,PINK46,220000,,,Main Department,NOVEMBER 70737,PINK46,1,110000,1
FIGURE1906,SHORT DRESS,PINK40,250000,,,Main Department,FIGURE1906,PINK40,1,125000,1
FIGURE1906,SHORT DRESS,PINK46,250000,,,Main Department,FIGURE1906,PINK46,1,125000,1
CMA2012,SHORT DRESS,PINK46,195000,,,Main Department,CMA2012,PINK46,1,97500,1
CMA2012,SHORT DRESS,PINK42,195000,,,Main Department,CMA2012,PINK42,1,97500,1
CMA2012,SHORT DRESS,PINK48,195000,,,Main Department,CMA2012,PINK48,1,97500,1
CMA2012,SHORT DRESS,PINK44,195000,,,Main Department,CMA2012,PINK44,1,97500,1
ONCU1026,SHORT DRESS,PINK40,185000,,,Main Department,ONCU1026,PINK40,1,92500,1
ONCU1026,SHORT DRESS,PINK42,185000,,,Main Department,ONCU1026,PINK42,1,92500,1
FIGURE1994,SHORT DRESS,PINK42,265000,,,Main Department,FIGURE1994,PINK42,1,132500,1
FIGURE1994,SHORT DRESS,PINK44,265000,,,Main Department,FIGURE1994,PINK44,1,132500,1
FIGURE1994,SHORT DRESS,PINK40,265000,,,Main Department,FIGURE1994,PINK40,1,132500,1
GRADE5005,DRESSESS,PINK44,195000,,,Main Department,GRADE5005,PINK44,1,97500,1
LADY FORM1226,SUITS,PINK40,275000,,,Main Department,LADY FORM1226,PINK40,1,137500,1
LADY FORM1226,SUITS,PINK36,275000,,,Main Department,LADY FORM1226,PINK36,1,137500,1
EFFECTIVE12504,SHORT DRESS,PINK38,195000,,,Main Department,EFFECTIVE12504,PINK38,1,97500,1
EFFECTIVE12504,SHORT DRESS,PINK36,195000,,,Main Department,EFFECTIVE12504,PINK36,1,97500,1
ARIZONA2786,SUITS,PINK46,165000,,,Main Department,ARIZONA2786,PINK46,1,82500,1
FIGURE1976 40,SUITS,PINK40,250000,,,Main Department,FIGURE1976 40,PINK40,1,125000,1
FIGURE1976 44,SUITS,PINK44,250000,,,Main Department,FIGURE1976 44,PINK44,1,125000,1
ROXELAN8642,SHORT DRESS,PINK36,235000,,,Main Department,ROXELAN8642,PINK36,1,117500,1
ROXELAN8642,SHORT DRESS,PINK42,235000,,,Main Department,ROXELAN8642,PINK42,1,117500,1
LOVE COMFORT 2529,SUITS,PINK46,215000,,,Main Department,LOVE COMFORT 2529,PINK46,1,107500,1
MIX GALA 9680,SHORT DRESS,PINK50,275000,,,Main Department,MIX GALA 9680,PINK50,1,137500,1
ROXELAN9055 36,SHORT DRESS,PINK36,200000,,,Main Department,ROXELAN9055 36,PINK36,1,100000,1
ROXELAN9055 42,SHORT DRESS,PINK42,200000,,,Main Department,ROXELAN9055 42,PINK42,1,100000,1
ROXELAN9055 38,SHORT DRESS,PINK38,200000,,,Main Department,ROXELAN9055 38,PINK38,1,100000,1
ROXELAN9055 40,SHORT DRESS,PINK40,200000,,,Main Department,ROXELAN9055 40,PINK40,1,100000,1
ONCU3810,SUITS,PINK40,175000,,,Main Department,ONCU3810,PINK40,1,87500,1
ONCU3810,SUITS,PINK36,175000,,,Main Department,ONCU3810,PINK36,1,87500,1
ONCU3810,SUITS,PINK38,175000,,,Main Department,ONCU3810,PINK38,1,87500,1
ONCU3810,SUITS,PINK42,175000,,,Main Department,ONCU3810,PINK42,1,87500,1
CMA4810,SUITS,PINK42,175000,,,Main Department,CMA4810,PINK42,1,87500,1
CMA4810,SUITS,PINK46,175000,,,Main Department,CMA4810,PINK46,1,87500,1
EFFECTIVE7072,SHORT DRESS,PINK50,200000,,,Main Department,EFFECTIVE7072,PINK50,1,100000,1
EFFECTIVE7072,SHORT DRESS,PINK44,200000,,,Main Department,EFFECTIVE7072,PINK44,1,100000,1
EFFECTIVE7072,SHORT DRESS,PINK46,200000,,,Main Department,EFFECTIVE7072,PINK46,1,100000,1
EFFECTIVE 1,SHORT DRESS,PINK40,145000,,,Main Department,EFFECTIVE 1,PINK40,1,72500,1
LADY MORGAN 5459,SHORT DRESS,PURPLE44,185000,,,Main Department,LADY MORGAN 5459,PURPLE44,1,92500,1
LADY MORGAN 5459,SHORT DRESS,PURPLE38,185000,,,Main Department,LADY MORGAN 5459,PURPLE38,1,92500,1
KLOSKI LINE 10510,SHORT DRESS,PURPLE48,195000,,,Main Department,KLOSKI LINE 10510,PURPLE48,1,97500,1
KLOSKI LINE 10510,SHORT DRESS,PURPLE50,195000,,,Main Department,KLOSKI LINE 10510,PURPLE50,1,97500,1
LIVE FOREVER 3052,SHORT DRESS,PINK42,285000,,,Main Department,LIVE FOREVER 3052,PINK42,1,142500,1
LADY MORGANA1776,DRESSESS,PINK40,100000,,,Main Department,LADY MORGANA1776,PINK40,1,50000,1
SI MIRAC4810,SHORT DRESS,PURPLE50,50000,,,Main Department,SI MIRAC4810,PURPLE50,1,25000,1
SI MIRAC4810,SHORT DRESS,PURPLE44,50000,,,Main Department,SI MIRAC4810,PURPLE44,1,25000,1
SI MIRAC4810,SHORT DRESS,PURPLE48,50000,,,Main Department,SI MIRAC4810,PURPLE48,1,25000,1
SI MIRAC4810,SHORT DRESS,PURPLE46,50000,,,Main Department,SI MIRAC4810,PURPLE46,1,25000,1
NAZZAN1212,SHORT DRESS,PINK46,100000,,,Main Department,NAZZAN1212,PINK46,1,50000,1
POLEN PARK 1348,SHORT DRESS,PINK46,225000,,,Main Department,POLEN PARK 1348,PINK46,1,112500,1
MAXVELLA 2603,DRESSESS,PINKL,900000,,,Main Department,MAXVELLA 2603,PINKL,1,450000,1
MAXVELLA 2603,DRESSESS,PINKM,900000,,,Main Department,MAXVELLA 2603,PINKM,1,450000,1
NOLINA 11065,DRESSESS,PINKXL,930000,,,Main Department,NOLINA 11065,PINKXL,1,465000,1
NOLINA 11065,DRESSESS,PINKXXL,930000,,,Main Department,NOLINA 11065,PINKXXL,1,465000,1
DRESS P160,DRESSESS,PINKM,900000,,,Main Department,DRESS P160,PINKM,1,450000,1
DRESS P160,DRESSESS,PINKL,900000,,,Main Department,DRESS P160,PINKL,1,450000,1
Elysion 7033,DRESSESS,PINK40,200000,,,Main Department,Elysion 7033,PINK40,1,100000,1
Elysion 7033,DRESSESS,PINK42,200000,,,Main Department,Elysion 7033,PINK42,1,100000,1
Elysion 7033,DRESSESS,PINK38,200000,,,Main Department,Elysion 7033,PINK38,1,100000,1
RIVER RAIN 2040,DRESSESS,PINK46,80000,,,Main Department,RIVER RAIN 2040,PINK46,1,40000,1
RIVER RAIN 1252,DRESSESS,PINK46,100000,,,Main Department,RIVER RAIN 1252,PINK46,1,50000,1
RIVER RAIN 2040,DRESSESS,PINK44,80000,,,Main Department,RIVER RAIN 2040,PINK44,1,40000,1
ROXELAN 7723,SHORT DRESS,PINK36,200000,,,Main Department,ROXELAN 7723,PINK36,1,100000,1
ROXELAN 7723,SHORT DRESS,PINK44,200000,,,Main Department,ROXELAN 7723,PINK44,1,100000,1
ROXELAN 7723,SHORT DRESS,PINK46,200000,,,Main Department,ROXELAN 7723,PINK46,1,100000,1
VALS 195,SHORT DRESS,PURPLE46,245000,,,Main Department,VALS 195,PURPLE46,1,122500,1
VALS 195,SHORT DRESS,PURPLE50,245000,,,Main Department,VALS 195,PURPLE50,1,122500,1
VALS 195,SHORT DRESS,PURPLE48,245000,,,Main Department,VALS 195,PURPLE48,1,122500,1
VALS 301182,SHORT DRESS,PINK50,245000,,,Main Department,VALS 301182,PINK50,1,122500,1
DEEP 2182,SHORT DRESS,PURPLE36,265000,,,Main Department,DEEP 2182,PURPLE36,1,132500,1
DEEP 2182,SHORT DRESS,PURPLE38,265000,,,Main Department,DEEP 2182,PURPLE38,1,132500,1
BOGART LINE 8665,SHORT DRESS,PURPLE38,345000,,,Main Department,BOGART LINE 8665,PURPLE38,1,172500,1
BOGART LINE 8665,SHORT DRESS,PURPLE36,345000,,,Main Department,BOGART LINE 8665,PURPLE36,1,172500,1
LAFILAZZI 5059,SHORT DRESS,PURPLE40,185000,,,Main Department,LAFILAZZI 5059,PURPLE40,1,92500,1
ETILER 2136,SHORT DRESS,PINK44,220000,,,Main Department,ETILER 2136,PINK44,1,110000,1
TOP WOMAN 2917,SHORT DRESS,PURPLE48,330000,,,Main Department,TOP WOMAN 2917,PURPLE48,1,165000,1
TOP WOMAN 2917,SHORT DRESS,PURPLE46,330000,,,Main Department,TOP WOMAN 2917,PURPLE46,1,165000,1
TOP WOMAN 2917,SHORT DRESS,PURPLE44,330000,,,Main Department,TOP WOMAN 2917,PURPLE44,1,165000,1
TOP WOMAN 2917,SHORT DRESS,PURPLE42,330000,,,Main Department,TOP WOMAN 2917,PURPLE42,1,165000,1
ROXELAN 8661 38,SHORT DRESS,PINK36,220000,,,Main Department,ROXELAN 8661 38,PINK36,1,110000,1
ROXELAN 8661 38,SHORT DRESS,PINK38,220000,,,Main Department,ROXELAN 8661 38,PINK38,1,110000,1
LAFILAZZI 5001 46,SHORT DRESS,PURPLE46,175000,,,Main Department,LAFILAZZI 5001 46,PURPLE46,1,87500,1
LAFILAZZI 5001 44,SHORT DRESS,PURPLE44,175000,,,Main Department,LAFILAZZI 5001 44,PURPLE44,1,87500,1
NOVEMBER 70914,SHORT DRESS,PINK42,250000,,,Main Department,NOVEMBER 70914,PINK42,1,125000,1
NOVEMBER 70914,SHORT DRESS,PINK44,250000,,,Main Department,NOVEMBER 70914,PINK44,1,125000,1
NOVEMBER 70914,SHORT DRESS,PINK46,250000,,,Main Department,NOVEMBER 70914,PINK46,1,125000,1
LUX SO 8388 ,SHORT DRESS,PURPLE46,195000,,,Main Department,LUX SO 8388 ,PURPLE46,1,97500,1
LUX SO 8388 ,SHORT DRESS,PURPLE50,195000,,,Main Department,LUX SO 8388 ,PURPLE50,1,97500,1
LUX SO 8388 ,SHORT DRESS,PURPLE52,195000,,,Main Department,LUX SO 8388 ,PURPLE52,1,97500,1
POP LINE VIP 2323,SHORT DRESS,PINK46,350000,,,Main Department,POP LINE VIP 2323,PINK46,1,175000,1
POP LINE VIP 2323,SHORT DRESS,PINK44,350000,,,Main Department,POP LINE VIP 2323,PINK44,1,175000,1
LIVE FOREVER 25918,SHORT DRESS,PINK46,285000,,,Main Department,LIVE FOREVER 25918,PINK46,1,142500,1
LIVE FOREVER 25918,SHORT DRESS,PINK46,285000,,,Main Department,LIVE FOREVER 25918,PINK46,1,142500,1
LIVE FOREVER 25918,SHORT DRESS,PINK42,285000,,,Main Department,LIVE FOREVER 25918,PINK42,1,142500,1
VALS 125,SUITS,PINK50,265000,,,Main Department,VALS 125,PINK50,1,132500,1
VALS 125,SUITS,PINK44,265000,,,Main Department,VALS 125,PINK44,1,132500,1
FIGURE 1885,SHORT DRESS,PINK44,200000,,,Main Department,FIGURE 1885,PINK44,1,100000,1
FIGURE 1885,SHORT DRESS,PINK42,200000,,,Main Department,FIGURE 1885,PINK42,1,100000,1
FIGURE 1910,SUITS,PINK42,245000,,,Main Department,FIGURE 1910,PINK42,1,122500,1
WOMENTIC 1371,DRESSESS,PURPLE46,130000,,,Main Department,WOMENTIC 1371,PURPLE46,1,65000,1
G &  C 5663,SHORT DRESS,PINK38,145000,,,Main Department,G &  C 5663,PINK38,1,72500,1
FIGURE 1912,SHORT DRESS,PINK48,165000,,,Main Department,FIGURE 1912,PINK48,1,82500,1
Figure 1999,SHORT DRESS,PINK42,250000,,,Main Department,Figure 1999,PINK42,1,125000,1
Figure 1999,SHORT DRESS,PINK40,250000,,,Main Department,Figure 1999,PINK40,1,125000,1
SAMSARA 6607 ,SHORT DRESS,PINK36,215000,,,Main Department,SAMSARA 6607 ,PINK36,1,107500,1
SAMSARA 6607 ,SHORT DRESS,PINK38,215000,,,Main Department,SAMSARA 6607 ,PINK38,1,107500,1
SAMSARA 6607 ,SHORT DRESS,PINK40,215000,,,Main Department,SAMSARA 6607 ,PINK40,1,107500,1
SAMSARA 6607 ,SHORT DRESS,PINK42,215000,,,Main Department,SAMSARA 6607 ,PINK42,1,107500,1
ROXELAN 8998,SHORT DRESS,PINK36,200000,,,Main Department,ROXELAN 8998,PINK36,1,100000,1
ROXELAN 8998,SHORT DRESS,PINK38,200000,,,Main Department,ROXELAN 8998,PINK38,1,100000,1
ROXELAN 8998,SHORT DRESS,PINK40,200000,,,Main Department,ROXELAN 8998,PINK40,1,100000,1
ROXELAN 8998,SHORT DRESS,PINK42,200000,,,Main Department,ROXELAN 8998,PINK42,1,100000,1
LADY MORGANA 05415,SHORT DRESS,PURPLE52,185000,,,Main Department,LADY MORGANA 05415,PURPLE52,1,92500,1
NOVEMBER 70793,SHORT DRESS,PURPLE42,200000,,,Main Department,NOVEMBER 70793,PURPLE42,1,100000,1
NOVEMBER 70793,SHORT DRESS,PURPLE46,200000,,,Main Department,NOVEMBER 70793,PURPLE46,1,100000,1
PERLA 7464,SHORT DRESS,PURPLE48,175000,,,Main Department,PERLA 7464,PURPLE48,1,87500,1
PERLA  7464,SHORT DRESS,PURPLE46,175000,,,Main Department,PERLA  7464,PURPLE46,1,87500,1
PERLA  7464,SHORT DRESS,PURPLE50,175000,,,Main Department,PERLA  7464,PURPLE50,1,87500,1
CRISTINA 746,SHORT DRESS,PINK30,65000,,,Main Department,CRISTINA 746,PINK30,1,32500,1
CRISTINA 746,SHORT DRESS,PINK44,65000,,,Main Department,CRISTINA 746,PINK44,1,32500,1
CRISTINA 746,SHORT DRESS,PINK42,65000,,,Main Department,CRISTINA 746,PINK42,1,32500,1
MIRA MIA 226043,SHORT DRESS,PURPLE42,175000,,,Main Department,MIRA MIA 226043,PURPLE42,1,87500,1
